FilePath,LineNumber,RecieverVaribale,Context,Label
C:\Users\mda439\git\Reading Materials\CMPT816_Software_Maintenance_and_Evolution\CMPT470-816AssignmentMachineLenaring-master\.\data\repository\jEdit\org\gjt\sp\util\SyntaxUtilities.java,86,java.lang.String,java.lang.String equals  if else Color.green return  if else Color.red return  if else } },equals
C:\Users\mda439\git\Reading Materials\CMPT816_Software_Maintenance_and_Evolution\CMPT470-816AssignmentMachineLenaring-master\.\data\repository\jEdit\org\gjt\sp\util\PropertiesBean.java,233,java.lang.Class,java.lang.Class isArray  if _ret=null Object,isArray
C:\Users\mda439\git\Reading Materials\CMPT816_Software_Maintenance_and_Evolution\CMPT470-816AssignmentMachineLenaring-master\.\data\repository\jEdit\org\gjt\sp\util\Log.java,310,java.lang.Thread,java.lang.Thread getClass getName _source= { ==  if _source=Thread.currentThread { ==  if _source String,getClass
C:\Users\mda439\git\Reading Materials\CMPT816_Software_Maintenance_and_Evolution\CMPT470-816AssignmentMachineLenaring-master\.\data\repository\jEdit\org\gjt\sp\util\PropertiesBean.java,144,java.util.Properties,java.util.Properties setProerty getName getReadMethod getName !=  if getName + "." + _pname=root String _val=_get.invoke Object { !=  if _get=prop.getReadMethod Method,setProperty
C:\Users\mda439\git\Reading Materials\CMPT816_Software_Maintenance_and_Evolution\CMPT470-816AssignmentMachineLenaring-master\.\data\repository\jEdit\org\gjt\sp\util\XMLUtilities.java,84,java.lang.StringBuilder,java.lang.StringBuilder append { else } append { 0x00) != &&  if,append
C:\Users\mda439\git\Reading Materials\CMPT816_Software_Maintenance_and_Evolution\CMPT470-816AssignmentMachineLenaring-master\.\data\repository\jEdit\org\gjt\sp\util\StandardUtilities.java,546,java.lang.String,java.lang.String length substring startsWith <  for boolean StringBuilder StringBuilder Stack<Object> Stack<Object> Object GROUP=new Object final,length
C:\Users\mda439\git\Reading Materials\CMPT816_Software_Maintenance_and_Evolution\CMPT470-816AssignmentMachineLenaring-master\.\data\repository\jEdit\org\gjt\sp\util\StandardUtilities.java,573,java.lang.StringBuilder,java.lang.StringBuilder append append append append append append append append append '{': case break append else append  if,append
C:\Users\mda439\git\Reading Materials\CMPT816_Software_Maintenance_and_Evolution\CMPT470-816AssignmentMachineLenaring-master\.\data\repository\jEdit\org\gjt\sp\util\HtmlUtilities.java,170,java.lang.StringBuilder,java.lang.StringBuilder append } break valueOf : default,append
C:\Users\mda439\git\Reading Materials\CMPT816_Software_Maintenance_and_Evolution\CMPT470-816AssignmentMachineLenaring-master\.\data\repository\jEdit\org\gjt\sp\util\HtmlUtilities.java,95,java.awt.Font,java.awt.Font isBold  if getFont append !=  if getBackgroundColor append !=  if,isBold
C:\Users\mda439\git\Reading Materials\CMPT816_Software_Maintenance_and_Evolution\CMPT470-816AssignmentMachineLenaring-master\.\data\repository\jEdit\org\gjt\sp\util\SyntaxUtilities.java,147,java.lang.String,java.lang.String length tartWith ubtring tartWith ubtring tartWith <  for {  if else } if  {  if else,length
C:\Users\mda439\git\Reading Materials\CMPT816_Software_Maintenance_and_Evolution\CMPT470-816AssignmentMachineLenaring-master\.\data\repository\jEdit\org\gjt\sp\util\TaskManager.java,247,java.lang.Runnable,java.lang.Runnable toString return,toString
C:\Users\mda439\git\Reading Materials\CMPT816_Software_Maintenance_and_Evolution\CMPT470-816AssignmentMachineLenaring-master\.\data\repository\jEdit\org\gjt\sp\util\Log.java,403,java.util.List,java.util.List size  if {  synchronized { >=  if PrintStream,size
C:\Users\mda439\git\Reading Materials\CMPT816_Software_Maintenance_and_Evolution\CMPT470-816AssignmentMachineLenaring-master\.\data\repository\jEdit\org\gjt\sp\util\PropertiesBean.java,100,java.beans.PropertyDescriptor,java.beans.PropertyDescriptor getWriteMethod getName _set= Method continue  if { _props) : PropertyDescriptor  for _props=getPropertyDescriptors PropertyDescriptor[] { try,getWriteMethod
C:\Users\mda439\git\Reading Materials\CMPT816_Software_Maintenance_and_Evolution\CMPT470-816AssignmentMachineLenaring-master\.\data\repository\jEdit\org\gjt\sp\util\ReverseCharSequence.java,40,java.lang.CharSequence,java.lang.CharSequence charAt return,charAt
C:\Users\mda439\git\Reading Materials\CMPT816_Software_Maintenance_and_Evolution\CMPT470-816AssignmentMachineLenaring-master\.\data\repository\jEdit\org\gjt\sp\util\Log.java,455,java.awt.Toolkit,java.awt.Toolkit getDefault { 1000) > -  if currentTimeMillis long {  if println else,getDefaultToolkit
C:\Users\mda439\git\Reading Materials\CMPT816_Software_Maintenance_and_Evolution\CMPT470-816AssignmentMachineLenaring-master\.\data\repository\jEdit\org\gjt\sp\util\XMLUtilities.java,175,java.lang.String,java.lang.String endsWith && null !=  if,endsWith
C:\Users\mda439\git\Reading Materials\CMPT816_Software_Maintenance_and_Evolution\CMPT470-816AssignmentMachineLenaring-master\.\data\repository\jEdit\org\gjt\sp\util\Log.java,451,java.lang.System,java.lang.System currentTimeMillis currentTimeMillis Toolkit.getDefaultToolkit { 1000) > -  if currentTimeMillis long {  if,currentTimeMillis
C:\Users\mda439\git\Reading Materials\CMPT816_Software_Maintenance_and_Evolution\CMPT470-816AssignmentMachineLenaring-master\.\data\repository\jEdit\org\gjt\sp\util\StringList.java,149,java.io.PrintStream,java.io.PrintStream println StringList.split String,println
C:\Users\mda439\git\Reading Materials\CMPT816_Software_Maintenance_and_Evolution\CMPT470-816AssignmentMachineLenaring-master\.\data\repository\jEdit\org\gjt\sp\util\SyntaxUtilities.java,71,java.lang.String,java.lang.String charAt trim length  if trim return 0) == length || null ==  if,charAt
C:\Users\mda439\git\Reading Materials\CMPT816_Software_Maintenance_and_Evolution\CMPT470-816AssignmentMachineLenaring-master\.\data\repository\jEdit\org\gjt\sp\util\ThreadUtilities.java,62,java.lang.Runnable,java.lang.Runnable run  if,run
C:\Users\mda439\git\Reading Materials\CMPT816_Software_Maintenance_and_Evolution\CMPT470-816AssignmentMachineLenaring-master\.\data\repository\jEdit\org\gjt\sp\util\SyntaxUtilities.java,145,java.lang.String,java.lang.String tartWith ubtring tartWith ubtring tartWith  if else } if  {  if else },startsWith
C:\Users\mda439\git\Reading Materials\CMPT816_Software_Maintenance_and_Evolution\CMPT470-816AssignmentMachineLenaring-master\.\data\repository\jEdit\org\gjt\sp\util\Log.java,307,java.lang.Thread,java.lang.Thread getName _source= { ==  if _source String,getName
C:\Users\mda439\git\Reading Materials\CMPT816_Software_Maintenance_and_Evolution\CMPT470-816AssignmentMachineLenaring-master\.\data\repository\jEdit\org\gjt\sp\util\StandardUtilities.java,598,java.util.Stack,java.util.Stack isEmpty isEmpty push push  if '}': case break append else append GROUP) == peek &&  if,isEmpty
C:\Users\mda439\git\Reading Materials\CMPT816_Software_Maintenance_and_Evolution\CMPT470-816AssignmentMachineLenaring-master\.\data\repository\jEdit\org\gjt\sp\util\SyntaxUtilities.java,92,java.lang.String,java.lang.String equals  if else Color.orange return  if else Color.yellow return  if else Color.blue return  if else Color.green return  if else,equals
C:\Users\mda439\git\Reading Materials\CMPT816_Software_Maintenance_and_Evolution\CMPT470-816AssignmentMachineLenaring-master\.\data\repository\jEdit\org\gjt\sp\util\StandardUtilities.java,195,java.lang.CharSequence,java.lang.CharSequence charAt length  switch { length <  for int,charAt
C:\Users\mda439\git\Reading Materials\CMPT816_Software_Maintenance_and_Evolution\CMPT470-816AssignmentMachineLenaring-master\.\data\repository\jEdit\org\gjt\sp\util\ThreadUtilities.java,245,java.util.concurrent.CountDownLatch,java.util.concurrent.CountDownLatch countDown run,countDown
C:\Users\mda439\git\Reading Materials\CMPT816_Software_Maintenance_and_Evolution\CMPT470-816AssignmentMachineLenaring-master\.\data\repository\jEdit\org\gjt\sp\util\HtmlUtilities.java,182,java.lang.StringBuilder,java.lang.StringBuilder append StringBuilder StringBuilder,append
C:\Users\mda439\git\Reading Materials\CMPT816_Software_Maintenance_and_Evolution\CMPT470-816AssignmentMachineLenaring-master\.\data\repository\jEdit\org\gjt\sp\util\Log.java,412,java.lang.Throwable,java.lang.Throwable printStackTrace {  synchronized } } add,printStackTrace
C:\Users\mda439\git\Reading Materials\CMPT816_Software_Maintenance_and_Evolution\CMPT470-816AssignmentMachineLenaring-master\.\data\repository\jEdit\org\gjt\sp\util\PropertiesBean.java,172,java.util.Properties,java.util.Properties remove getName getName getName + "." + _pname=root String continue  if { _props) : PropertyDescriptor  for _props=getPropertyDescriptors PropertyDescriptor[],remove
C:\Users\mda439\git\Reading Materials\CMPT816_Software_Maintenance_and_Evolution\CMPT470-816AssignmentMachineLenaring-master\.\data\repository\jEdit\org\gjt\sp\util\PropertiesBean.java,97,java.beans.PropertyDescriptor,java.beans.PropertyDescriptor getName  if { _props) : PropertyDescriptor  for _props=getPropertyDescriptors PropertyDescriptor[] { try,getName
C:\Users\mda439\git\Reading Materials\CMPT816_Software_Maintenance_and_Evolution\CMPT470-816AssignmentMachineLenaring-master\.\data\repository\jEdit\org\gjt\sp\util\SyntaxUtilities.java,57,java.lang.Integer,java.lang.Integer toHexString String,toHexString
C:\Users\mda439\git\Reading Materials\CMPT816_Software_Maintenance_and_Evolution\CMPT470-816AssignmentMachineLenaring-master\.\data\repository\jEdit\org\gjt\sp\util\StandardUtilities.java,106,java.lang.StringBuilder,java.lang.StringBuilder toString append return } append break  if charAt char,toString
C:\Users\mda439\git\Reading Materials\CMPT816_Software_Maintenance_and_Evolution\CMPT470-816AssignmentMachineLenaring-master\.\data\repository\jEdit\org\gjt\sp\util\StringModel.java,36,java.awt.event.TextListener,java.awt.event.TextListener textValueChanged :  for TextEvent TextEvent,textValueChanged
C:\Users\mda439\git\Reading Materials\CMPT816_Software_Maintenance_and_Evolution\CMPT470-816AssignmentMachineLenaring-master\.\data\repository\jEdit\org\gjt\sp\util\StandardUtilities.java,645,java.lang.CharSequence,java.lang.CharSequence length length < +  if char { <  for boolean false return 0) < || 0 < || 0 <  if,charAt
C:\Users\mda439\git\Reading Materials\CMPT816_Software_Maintenance_and_Evolution\CMPT470-816AssignmentMachineLenaring-master\.\data\repository\jEdit\org\gjt\sp\util\ReverseCharSequence.java,57,java.lang.CharSequence,java.lang.CharSequence length int,length
C:\Users\mda439\git\Reading Materials\CMPT816_Software_Maintenance_and_Evolution\CMPT470-816AssignmentMachineLenaring-master\.\data\repository\jEdit\org\gjt\sp\util\PropertiesBean.java,235,java.lang.String,java.lang.String valueOf StringTokenizer StringTokenizer {  if _ret=null Object,valueOf
C:\Users\mda439\git\Reading Materials\CMPT816_Software_Maintenance_and_Evolution\CMPT470-816AssignmentMachineLenaring-master\.\data\repository\jEdit\org\gjt\sp\util\Log.java,504,javax.swing.event.ListDataListener,javax.swing.event.ListDataListener intervalRemoved { :  for,intervalRemoved
